x, y, t, 
-0.18797926604747772, 0.3009724020957947, 1731623948511459238, 
-0.2152530699968338, 0.2977283000946045, 1731623948601360797, 
-0.24604982137680054, 0.2912760376930237, 1731623948700962259, 
-0.28111568093299866, 0.28039783239364624, 1731623948811370574, 
-0.3114715814590454, 0.2675672173500061, 1731623948911355691, 
-0.33820274472236633, 0.2533899247646332, 1731623949001330875, 
-0.36647671461105347, 0.23544150590896606, 1731623949100781567, 
-0.3960207998752594, 0.21244993805885315, 1731623949211520563, 
-0.4212920069694519, 0.18899857997894287, 1731623949311386270, 
-0.4424953758716583, 0.16610689461231232, 1731623949403346379, 
-0.4635067284107208, 0.13920442759990692, 1731623949500680668, 
-0.48432496190071106, 0.10754386335611343, 1731623949611384698, 
-0.5012842416763306, 0.0766993910074234, 1731623949711384918, 
-0.5146103501319885, 0.047923482954502106, 1731623949802528187, 
-0.526826024055481, 0.014967784285545349, 1731623949900732884, 
-0.5375650525093079, -0.02224525809288025, 1731623950011370831, 
-0.544899582862854, -0.057089876383543015, 1731623950111371646, 
-0.5497439503669739, -0.08883490413427353, 1731623950202377974, 
-0.5524517297744751, -0.12435763329267502, 1731623950301067278, 
-0.552649974822998, -0.16389496624469757, 1731623950411387054, 
-0.5504066348075867, -0.19976311922073364, 1731623950511368238, 
-0.5467206239700317, -0.23211413621902466, 1731623950601370785, 
-0.5401440262794495, -0.26775240898132324, 1731623950700733705, 
-0.5304609537124634, -0.30672687292099, 1731623950812462050, 
-0.518993616104126, -0.3415743410587311, 1731623950911388548, 
-0.5070540308952332, -0.372414231300354, 1731623951002373710, 
-0.49209097027778625, -0.4055967926979065, 1731623951100977274, 
-0.4734562337398529, -0.44132477045059204, 1731623951212452474, 
-0.454243540763855, -0.4729935824871063, 1731623951311383733, 
-0.4440576434135437, -0.48835593461990356, 1731623951361322477, 
-0.41307637095451355, -0.5302047729492188, 1731623951501553099, 
-0.3870285451412201, -0.5610833764076233, 1731623951612386017, 
-0.36136528849601746, -0.5883282423019409, 1731623951711399384, 
-0.33716562390327454, -0.6117438077926636, 1731623951801477796, 
-0.3087550401687622, -0.6365047097206116, 1731623951902811467, 
-0.2764888107776642, -0.6618684530258179, 1731623952012897714, 
-0.24636946618556976, -0.6829553842544556, 1731623952109689344, 
-0.21712905168533325, -0.7017114162445068, 1731623952201467760, 
-0.18412600457668304, -0.7209259867668152, 1731623952301862148, 
-0.14693506062030792, -0.7399386167526245, 1731623952410704963, 
-0.11299911141395569, -0.7553197741508484, 1731623952509529588, 
-0.08047664165496826, -0.7681990265846252, 1731623952601250405, 
-0.04449959099292755, -0.7805504202842712, 1731623952701084300, 
-0.0043003917671740055, -0.7922459244728088, 1731623952811392061, 
0.03195942938327789, -0.8013164401054382, 1731623952908382618, 
0.06743892282247543, -0.8081203103065491, 1731623953002462302, 
0.10496771335601807, -0.8141084313392639, 1731623953100711905, 
0.14735481142997742, -0.8184855580329895, 1731623953211401123, 
0.18611133098602295, -0.8210345506668091, 1731623953312379036, 
0.2209538370370865, -0.8216900825500488, 1731623953400583456, 
0.2595422565937042, -0.8210561275482178, 1731623953501243952, 
0.3020728528499603, -0.8182942271232605, 1731623953611415027, 
0.340575635433197, -0.8142057061195374, 1731623953711401263, 
0.3749907910823822, -0.8095114231109619, 1731623953801483963, 
0.41308537125587463, -0.8026176691055298, 1731623953900595370, 
0.45473822951316833, -0.7933201193809509, 1731623954011487004, 
0.49251797795295715, -0.7832242250442505, 1731623954111381771, 
0.5260004997253418, -0.7732962965965271, 1731623954201464687, 
0.5703942179679871, -0.7579362988471985, 1731623954321548259, 
0.6034349799156189, -0.7450681328773499, 1731623954411414053, 
0.6395763754844666, -0.7296934127807617, 1731623954510939484, 
0.6717373728752136, -0.7144567370414734, 1731623954601486868, 
0.7050777673721313, -0.697346568107605, 1731623954696512024, 
0.7458428144454956, -0.674488365650177, 1731623954815420450, 
0.7766407132148743, -0.6555600166320801, 1731623954907426140, 
0.8091115951538086, -0.6343367099761963, 1731623955008377440, 
0.8381350636482239, -0.6137573719024658, 1731623955097032068, 
0.8741324543952942, -0.5862369537353516, 1731623955211425969, 
0.9047279357910156, -0.5613840818405151, 1731623955311397742, 
0.9319303631782532, -0.5376819968223572, 1731623955401676457, 
0.9610546827316284, -0.51051265001297, 1731623955500970249, 
0.9919198155403137, -0.4795721769332886, 1731623955611512741, 
1.0190521478652954, -0.45048749446868896, 1731623955711423529, 
1.042589783668518, -0.4235672950744629, 1731623955802511954, 
1.0725520849227905, -0.38688233494758606, 1731623955920639664, 
1.0942116975784302, -0.3583942651748657, 1731623956011446221, 
1.117069959640503, -0.325954407453537, 1731623956111430498, 
1.1368969678878784, -0.29603272676467896, 1731623956202389426, 
1.1575809717178345, -0.2624908685684204, 1731623956301492376, 
1.1796910762786865, -0.22468525171279907, 1731623956413435777, 
1.1985132694244385, -0.18959487974643707, 1731623956511426858, 
1.2145051956176758, -0.15730449557304382, 1731623956602392335, 
1.2307029962539673, -0.12140882760286331, 1731623956701207433, 
1.2474889755249023, -0.08089304715394974, 1731623956812423524, 
1.2613354921340942, -0.0440518744289875, 1731623956911435478, 
1.2728614807128906, -0.01033020205795765, 1731623957002400931, 
1.284281611442566, 0.02758869156241417, 1731623957100915891, 
1.2955752611160278, 0.06974239647388458, 1731623957212438861, 
1.3045530319213867, 0.10798749327659607, 1731623957311442940, 
1.3116589784622192, 0.14278298616409302, 1731623957402467979, 
1.318476676940918, 0.18202972412109375, 1731623957503381739, 
1.3245404958724976, 0.2251703292131424, 1731623957611576313, 
1.328500509262085, 0.2631969153881073, 1731623957709995651, 
