e, e_dot, e_int, stamp, 
-0.029442593661136884, 0.00047716540209445196, -0.0059065035218322254, 1732835509446717298, 
-0.027848089326682368, 0.005737088526329703, -0.005790659924826702, 1732835509547084850, 
-0.02951100716713073, -0.0002280450199794911, -0.005786779343663332, 1732835509637437708, 
-0.02897090518532397, -0.0037427195288053383, -0.005755333445275805, 1732835509757618899, 
-0.025259109072613972, 0.014172993648389198, -0.005582734761671245, 1732835509847208526, 
-0.0286179136729241, 0.0011766383746662317, -0.005523195195390802, 1732835509947307969, 
-0.027314149768824847, -0.006850135654036249, -0.005412744834290861, 1732835510037803809, 
-0.02624343782777283, 0.007914919483837565, -0.005478366751301452, 1732835510158513537, 
-0.02357379871621279, 0.012467836842040189, -0.005142092420854031, 1732835510246832436, 
-0.021248603813697864, 0.016649446713583222, -0.004737722690512232, 1732835510346938466, 
-0.02056609338626869, 0.010025684433146997, -0.004359233061078623, 1732835510456763244, 
-0.02044171435211184, 0.0026896315386200817, -0.0041504274368052265, 1732835510558502313, 
-0.020324764640167303, 0.0008044291536712933, -0.004088838158569855, 1732835510646985758, 
-0.017633384038563737, 0.00936110104516034, -0.0038933242020561917, 1732835510746995234, 
-0.017050902411696045, 0.010912874094904193, -0.003667270072695139, 1732835510838082089, 
-0.016824605524029757, 0.0026959283817799364, -0.0034339261316193026, 1732835510958083931, 
-0.01542383411727033, 0.005423560981419051, -0.0032866228035330755, 1732835511046787748, 
-0.016682984791771327, 0.00047206910752809844, -0.003262094962204761, 1732835511146810246, 
-0.01632547176690824, -0.0030054588321263656, -0.00322881937839666, 1732835511256864546, 
-0.015357619290104374, 0.00441788500555651, -0.003224405056585596, 1732835511358239716, 
-0.01586049933967648, 0.0015499080907725264, -0.003169572693112606, 1732835511446876505, 
-0.014179488428284204, 0.003927102872733901, -0.003026507137204337, 1732835511547849688, 
-0.013196089059594684, 0.008881367600272657, -0.0028824051218370246, 1732835511637924100, 
-0.012343785182250766, 0.006119010820111459, -0.002647957511341977, 1732835511758074878, 
-0.010247630355981974, 0.009828195678709037, -0.0023858336398551614, 1732835511846875801, 
-0.008365278711970014, 0.013261688234269172, -0.0020637796166801834, 1732835511946857443, 
-0.007719656889863313, 0.008426578220395534, -0.0017555043971876868, 1732835512039055369, 
-0.006011124904531262, 0.007847179358129175, -0.001473070700424306, 1732835512157882944, 
-0.007509416534731805, 0.0007008011837716932, -0.0014160132219417586, 1732835512250837111, 
-0.008114250486804586, -0.007010418607577747, -0.0014423194617378436, 1732835512341823949, 
-0.008027105773759757, -0.0017256307967598399, -0.0015767181863530766, 1732835512444301733, 
-0.007964061637308673, 0.000500629498319712, -0.001607027859858201, 1732835512557976867, 
-0.008609017032010446, -0.0019397041941689637, -0.0016400122962052584, 1732835512646847380, 
-0.008165363155193228, -0.0006710050596151854, -0.0016492294549674898, 1732835512746827301, 
-0.007810629505013211, 0.0026612917566574503, -0.0016390006461477924, 1732835512857191848, 
-0.006334178942113855, 0.006103947376931244, -0.0014873447734880195, 1732835512957974469, 
0.16445987027932318, 0.5742349992811213, 0.010021004122146408, 1732835513047823038, 
0.1729675289004181, 0.5976723594751066, 0.022072881349175164, 1732835513146804972, 
0.18152886639507415, 0.05689665371916989, 0.03459708437165436, 1732835513238545560, 
0.19101779228530402, 0.06016754461628637, 0.03636761250538642, 1732835513358019828, 
0.20083134088263654, 0.06434158162520798, 0.038225199970867645, 1732835513446831888, 
0.21137975362300232, 0.06787320445899432, 0.04021525911939619, 1732835513546834734, 
0.2190577537249213, 0.060754709474282555, 0.042084589882037345, 1732835513638243708, 
0.31136102836591306, 0.3332709158097025, 0.04945323571425578, 1732835513757897863, 
0.27874392339490084, 0.19895389889993176, 0.05394418036571568, 1732835513847812231, 
0.27815664838449405, -0.11068126660473003, 0.05788410667635386, 1732835513947846823, 
0.27524388634543673, -0.01166679016488037, 0.05547629720832211, 1732835514038042833, 
0.27255791026986864, -0.018662460382084706, 0.05506389633331996, 1732835514154011445, 
0.2690167545242338, -0.02075710607067645, 0.05445457007596927, 1732835514250856933, 
0.2635518632347007, -0.030020156783893137, 0.05367510186858687, 1732835514342845615, 
0.24008419313742624, -0.09644187128935851, 0.05151018739309071, 1732835514441951882, 
0.014245535055129155, -0.8310210939319052, 0.03452543942848374, 1732835514553892281, 
-0.02687889505761265, -0.8898769606501297, 0.01516338887566285, 1732835514651935551, 
-0.04869023493574676, -0.20978589996958638, -0.004088239662548683, 1732835514744009827, 
-0.0691880200681021, -0.1410304167016315, -0.0096504766707641, 1732835514842149090, 
-0.10143702295652579, -0.1758226267359301, -0.014621018530691643, 1732835514954241135, 
-0.006108170102180566, 0.21026616655307176, -0.011782214208453897, 1732835515052883671, 
-0.02597629360589626, 0.2515357645020984, -0.00890143244430684, 1732835515143083367, 
-0.028995452933618937, -0.07629094277146124, -0.004071994442779717, 1732835515238383636, 
0.04359386809573529, 0.2319005390054385, -0.0007585252295853273, 1732835515359263965, 
0.0843068971424017, 0.3776745002534021, 0.00659368748696787, 1732835515447855147, 
0.10597981944056256, 0.20795317114942424, 0.01559203897857997, 1732835515547872073, 
0.21594114947098175, 0.4387808410952669, 0.027081857736929733, 1732835515638269245, 
0.21203466543826477, 0.35351615332567404, 0.03559704228998727, 1732835515757973553, 
0.20969621891898016, -0.020816435173338643, 0.042511468921881776, 1732835515847863838, 
0.2320490393703396, 0.06671457977358279, 0.04358532824850563, 1732835515947865477, 
