x, y, theta, stamp, 
-0.9115212559700012, -0.9628767371177673, -2.7451570098837115, 1729803742821055218, 
-0.9146470427513123, -0.9641363024711609, -2.745988621983647, 1729803742931437586, 
-0.9172935485839844, -0.9651854038238525, -2.7469742534003543, 1729803743028088656, 
-0.9195108413696289, -0.966157853603363, -2.7456388735692254, 1729803743121057535, 
-0.9228928685188293, -0.9676769971847534, -2.743953210728537, 1729803743221055656, 
-0.9258421063423157, -0.9688371419906616, -2.7454063883728526, 1729803743331544335, 
-0.9283838868141174, -0.9699639081954956, -2.745350568380888, 1729803743429097529, 
-0.9308229684829712, -0.9710584282875061, -2.7439370005863943, 1729803743521132371, 
-0.9335739016532898, -0.972263514995575, -2.7433474107485356, 1729803743622079813, 
-0.9366244077682495, -0.9734246730804443, -2.7457533127100815, 1729803743720400209, 
-0.9401727914810181, -0.9749065637588501, -2.7486622301504626, 1729803743830096410, 
-0.942851722240448, -0.9761167764663696, -2.7467875587548884, 1729803743921081685, 
-0.9466667771339417, -0.9774988889694214, -2.74149083793369, 1729803744021108311, 
-0.9495419263839722, -0.9786651134490967, -2.742914693675672, 1729803744121398320, 
-0.9509572386741638, -0.9793543219566345, -2.747149241757777, 1729803744231117175, 
-0.9528136253356934, -0.9802068471908569, -2.7535341037729544, 1729803744321078903, 
-0.9567402601242065, -0.9817550778388977, -2.7478809406485727, 1729803744421072700, 
